submission_id,title,abstract,fullname,talk_format,starttime,endtime,url,track
24,The suboptimality of perceptual decision making with multiple alternatives ,,Jiwon Yeon (Georgia Institute of Technology),Short talk,2020-05-25 23:40:00+00:00,2020-05-26 00:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/15,B
25,Model-based detection of putative synaptic connections from spike recordings with latency and type constraints,,Naixin Ren (University of Connecticut),Short talk,2020-05-25 23:00:00+00:00,2020-05-25 23:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/16,D
26,Improving ANN Robustness by Fixing a Primary Visual Cortex Front-End,,Tiago Marques (Massachusetts Institute of Technology),Short talk,2020-05-25 23:20:00+00:00,2020-05-25 23:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/16,D
27,Homeostatic recognition circuits emulating network-wide bursting and surprise,,Tsvi Achler (Optimizing Mind),Short talk,2020-05-25 23:40:00+00:00,2020-05-26 00:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/16,D
28,Early sensory processing of a feature is modulated by the feature’s relevance to high-level object perception,,Hellen Jing Yuan (Cardiff University),Short talk,2020-05-26 11:00:00+00:00,2020-05-26 11:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/17,A
29,Dynamic Spatiotemporal Pattern Recognition with Recurrent Spiking Neural Network,,Jiangrong Shen (Zhejiang University),Short talk,2020-05-26 11:20:00+00:00,2020-05-26 11:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/17,A
30,Shaping Brain Structure: Genetic and Phylogenetic Axes of Macro Scale Organization of Cortical Thickness,,Sofie Valk (Max Planck Institute for Human Cognitive and Brain Sciences),Short talk,2020-05-26 11:40:00+00:00,2020-05-26 12:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/17,A
31,Sensory evidence integration and action initiation occur in parallel during perceptual decisions,,Lluís Hernández-Navarro (IDIBAPS),Short talk,2020-05-26 11:00:00+00:00,2020-05-26 11:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/18,C
32,A recurrent network architecture underlies tectal activity dynamics and experience-dependent behaviour,,Asaph Zylbertal (University College London),Short talk,2020-05-26 11:20:00+00:00,2020-05-26 11:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/18,C
33,Evidence for neural resonance and a mix of low and high dimensional activity in the primate premotor cortices during a perceptual task with periodic auditory stimuli,,Dobromir Dotov (McMaster University),Short talk,2020-05-26 11:40:00+00:00,2020-05-26 12:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/18,C
34,Symbolic computation in Spiking Neural Networks,,Ceca Kraisnikovic (Graz University of Technology),Short talk,2020-05-26 11:00:00+00:00,2020-05-26 11:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/19,D
35,Bump attractor dynamics explains temporal weighting of evidence in estimation and categorization tasks,,Jose M. Esnaola-Acebes  (Centre de Recerca Matemàtica),Short talk,2020-05-26 11:20:00+00:00,2020-05-26 11:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/19,D
36,Statistical laws of protein motion in dendritic trees,,Fabio Sartori (Max Planck Institute for Brain Research),Short talk,2020-05-26 11:40:00+00:00,2020-05-26 12:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/19,D
37,Larger GPU-accelerated brain simulations with procedural connectivity,,James Knight (University of Sussex),Short talk,2020-05-26 11:00:00+00:00,2020-05-26 11:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/20,E
38,Adaptive behaviour: coding of past and present events in prefrontal cortex during learning.,,Silvia Maggi (University of Nottingham),Short talk,2020-05-26 11:20:00+00:00,2020-05-26 11:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/20,E
39,Processing of visual and tactile object information in the fronto-parietal grasping network,"When we are using our hands to interact with our surroundings, many different brain areas are involved in the sensory-motor transformation required to link sensory information to meaningful actions. While we have some understanding about the role of individual brain areas in this process, less is known about the way different brain areas interact during grasp planning.
To investigate how information from different senses is used in the process of grasp-planning, we recorded multi-channel spiking activity from a rhesus macaque (Macaca mulatta) while he performed a delayed-grasping task. The animal was trained to grasp six different objects that he has perceived beforehand either visually or tactually. To better understand the underlying sensory-motor transformation in preparation of this action, spiking activity was recorded from primary motor cortex, premotor cortex and the primary somatosensory cortex. 
By comparing the firing rates of single- and multi-units from these cortical areas, we identified specific differences in the brain activity between the two task conditions, even though the executed movement was identical. Specifically in the preparatory activity, after the object was seen or touched but before the object was lifted, up to 20% of units showed significant tuning differences between the two sensory modalities, i.e., in the way the grasps were planned based on visual vs. tactile object information. To better quantify the difference between visual and tactile grasp planning, we trained a classifier on the recorded data to predict the sensory modality as well as the grasping action, and this classifier was able to decode the sensory condition during the memory period well above chance. 
Together we could demonstrate significant differences in the way visual and tactile object information is processed in these brain areas, while the resulting movement was identical in both conditions. This demonstrates a significant role not only of object information, but also of the sensory modality conveying this information, for the preparation of upcoming grasp movements.

Supported by: Deutsche Forschungsgemeinschaft (SFB 889, Project C09).",Contributed talks,Contributed talks,2020-05-26 12:00:00+00:00,2020-05-26 13:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/21,main
40,Empirically Constrained Network Models for Contrast-dependent Modulation of Gamma Rhythm in V1,"Here we present experimentally-validated computational models of gamma rhythm and use these to investigate gamma oscillation instability. To this end, we extracted empirical constraints for PING (Pyramidal Interneuron Network Gamma) models from monkey single-unit and LFP responses recorded during contrast variation. These constraints implied weak rather than strong PING, connectivity between excitatory (E) and inhibitory (I) cells within specific bounds, and input strength variations that modulated E but not I cells. Constrained models showed valid behaviours, including gamma frequency increases with contrast and power saturation or decay at high contrasts. The route to gamma instability involved increased heterogeneity of E cells with increasing input triggering a breakdown of I cell pacemaker function. We illustrate the model’s capacity to resolve disputes in the literature. Our work is relevant for the range of cognitive operations to which gamma oscillations contribute and could serve as a basis for future, more complex models.",Contributed talks,Contributed talks,2020-05-26 12:00:00+00:00,2020-05-26 13:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/21,main
41,Visuomotor mechanisms of flexible control of walking stability in Drosophila,"Locomotion performance depends on a precise knowledge of the speed and configuration of the moving body. Such an internal estimate of self-motion is fundamental to control the coordinated action of eyes, head and limbs as animals explore and acquire information from their environment. We are interested in understanding how this information emerges in sensorimotor circuits and is used to control movement in a behavioral goal-specific manner. In this talk, I will focus on a canonical visuomotor network in the fly whose function is thought to contribute to one conserved principle of locomotion— stability. Through analysis of behavior in simultaneous with recordings of neural activity, I will describe that this network combines multimodal signals to control locomotion performance in a moment-by-moment flexible manner guided by the behavioral goal of the fly.",Eugenia Chiappe (Champalimaud),Keynote,2020-05-26 13:00:00+00:00,2020-05-26 14:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/22,main
42,The usefulness of Bayesian models,"This debate between Alex Pouget and Brad Love is inspired by the published exchange that followed the paper ""Bayesian Just-So Stories in Psychology and Neuroscience"" by Bowers and Davis in 2012. It will explore the usefulness of Bayesian models for capturing neural and behavioral findings, including how the thinking on this topic has evolved in the intervening years.",Debate: Alex Pouget (Geneva) and Brad Love (UCL),Keynote,2020-05-26 14:00:00+00:00,2020-05-26 15:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/23,main
43,neuromatch social,"Join us for an open mic social hour on Crowdcast where we ask attendess on stage to dance, sing, tell jokes, show off their toddler, etc. A sign-up sheet will be available for registered attendees.",Social / Open Mic,Keynote,2020-05-26 15:30:00+00:00,2020-05-26 16:30:00+00:00,https://www.crowdcast.io/e/neuromatch2/24,main
44,Chloride ion dynamics in the nervous system,"Fast inhibitory synaptic inhibition is critical for shaping the functional properties of neuronal networks. At a receptor level, synaptic inhibition is mediated by type A g-aminobutyric acid receptors (GABAARs), which are primarily permeable to chloride (Cl-) ions. ﻿Therefore, the transmembrane gradient for Cl- sets the driving force for Cl-flux across these receptors, controlling the properties of inhibitory synaptic signaling. In this talk I will: 1) explore what establishes the driving force for Cl- in neurons, 2) show how the transmembrane Cl- gradient can change during activity thereby modifying the input-output properties of neurons and 3) discuss how Cl- dynamics are critical for understanding and treating epileptic seizures.",Joseph Raimondo (U Capetown),Keynote,2020-05-26 16:00:00+00:00,2020-05-26 17:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/25,main
45,"Latent causes, prediction errors, and the organization of memory","In recent years, my lab has suggested that incoming information is parsed into separate clusters (""states"" in reinforcement learning parlance) -- all events that are assigned to one cluster are learned about together, whereas events in different clusters do not interfere with each other in learning. Moreover, we have suggested that prediction errors are key to this separation into clusters. In this talk, I will revisit these ideas building not only on behavioral experiments showing evidence for clustering, but also experiments that show the effects of prediction errors on episodic memory. I will attempt to tie the different findings together into a hypothesis about how prediction errors affect not only learning, but also the organization of memory.

(Work with Sam Gershman, Angela Radulescu and Nina Rouhani)",Yael Niv (Princeton),Keynote,2020-05-26 17:00:00+00:00,2020-05-26 18:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/26,main
46,Group matching (or social hour),An hour slot for attendees who signed up for group mind-matching to chat and socialze. Attendees who signed up should organize via email with their matches to create a meeting session to chat during this hour. Those who didn't can stay on Crowdcast or head to Mozilla Hubs for social hour.,Group matching / Social,Keynote,2020-05-26 18:00:00+00:00,2020-05-26 19:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/27,main
47,Neural control of movement in Hydra,"Hydra is a fascinating model organism for neuroscience. It is transparent; new genetic lines allow one to image activity in both neurons (Dupre and Yuste, 2017) and muscle cells (Szymanski and Yuste, 2019) ; it exhibits rich behavior; and it continually rebuilds itself. Hydra’s fairly simply physical structure as a two-layered fluid-filled hydrostat and the accessibility of information about neural and muscle activity opens the possibility of a complete model of neural control of behavior. We will discuss development of biophysical models of the nerve net and muscle cell layers and the actuation of a biomechanical model of the body column.",Adrienne Fairhall (U Washington),Keynote,2020-05-26 19:00:00+00:00,2020-05-26 20:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/28,main
48,Magnetic Nanotransducers for Wireless Neuromodulation,"Ion channels offer direct means to manipulating neural activity with specificity and temporal precision. The nanometer dimensions of these molecular machines inspire the design of neuromodulation tools operating at comparable spatial scales. In this talk I will discuss how magnetic nanotransducers based on synthetic magnetic materials can be applied to convert external weak magnetic fields into stimuli, such as heat, force, torque, pH change, and chemicals, commonly perceived by ion channels. I will illustrate the importance of magnetic properties in controlling magnetically-mediated neuronal modulation in the context of ion influxes and rodent behavior. This talk will also highlight opportunities offered by wireless neuromodulation in behavioral and systems neuroscience. Finally, I will touch on future possibilities for preclinical and translational applications of nanotransducer-mediated wireless magnetic neuromodulation.",Polina Anikeeva (MIT),Keynote,2020-05-26 20:00:00+00:00,2020-05-26 21:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/29,main
49,Growing up in Science,"Growing up in Science (www.growingupinscience.com) is a mentorship series that started at NYU but has spread to many other places. In it, faculty members and other guests describe their life and career story with an emphasis on struggles, failures, detours, and doubts. In this seminar, Wei Ji Ma will briefly describe the series and explain how you can start your own. Then, Anne Churchland and Wei Ji Ma will tell their own stories.",Growing Up in Science: a panel with Wei Ji Ma (NYU) and Anne Churchland (Cold Spring Harbor),Keynote,2020-05-26 21:00:00+00:00,2020-05-26 22:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/30,main
50,neuromatch social,"Join us for an open mic social hour on Crowdcast where we ask attendess on stage to dance, sing, tell jokes, show off their toddler, etc. A sign-up sheet will be available for registered attendees.",Social / Open Mic,Keynote,2020-05-26 22:30:00+00:00,2020-05-26 23:30:00+00:00,https://www.crowdcast.io/e/neuromatch2/31,main
51,EEG connectivity identifies individuals and predicts behavior across data sets,,Nicole Hakim (University of Chicago),Short talk,2020-05-26 23:00:00+00:00,2020-05-26 23:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/33,A
52,How to use brain-computer interface to study differences between blind and sighted,,"Rafael Grigoryan
 (Lomonosov Moscow State University)",Short talk,2020-05-26 23:20:00+00:00,2020-05-26 23:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/33,A
53,Global synchronization in directed excitatory networks of type I neurons,,Abolfazl Ziaeemehr (Institute  of advanced studies in basic science),Short talk,2020-05-26 23:40:00+00:00,2020-05-27 00:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/33,A
54,Human Inference Using Distributed Representations,,Zhenglong Zhou (University of Pennsylvania),Short talk,2020-05-26 23:00:00+00:00,2020-05-26 23:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/34,B
55,Memory Reactivation in Rat Medial Prefrontal Cortex Happens Dominantly in a Sub-State of Cortical Up State During Slow Wave Sleep,,Soroush Malek (University of Lethbridge),Short talk,2020-05-26 23:20:00+00:00,2020-05-26 23:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/34,B
56,Embodied Cognition & Contextual Neurodevelopmental Dynamics : Modeling  Levels of Representation with Developmental Braitenberg Vehicles,,Jesse Parent (Orthogonal Research and Education Lab),Short talk,2020-05-26 23:40:00+00:00,2020-05-27 00:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/34,B
57,The sensorimotor strategies and neuronal representations of whisker-based shape recognition in mice,,Chris Rodgers (Columbia University),Short talk,2020-05-26 23:00:00+00:00,2020-05-26 23:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/35,C
58,Multi-dimensional perceptual decision making under dynamic belief states,,Cheng Xue (University of Pittsburgh),Short talk,2020-05-26 23:20:00+00:00,2020-05-26 23:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/35,C
59,How neural intrinsic dynamics and receptive field filtering properties affect parameter estimation of generalized linear models,,Christof Fehrman (University of Virginia),Short talk,2020-05-26 23:40:00+00:00,2020-05-27 00:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/35,C
60,Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks,,Christopher Cueva (Columbia University),Short talk,2020-05-26 23:00:00+00:00,2020-05-26 23:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/36,D
61,Modeling reveals human-rodent differences in h-current kinetics influencing resonance in cortical layer 5 neurons,,Scott Rich (Krembil Research Institute),Short talk,2020-05-26 23:20:00+00:00,2020-05-26 23:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/36,D
62,Inducing spike synchronization in neural networks and burst initiation in the preBötzinger complex,,Valentin Slepukhin (UCLA Physics and Astronomy),Short talk,2020-05-26 23:40:00+00:00,2020-05-27 00:00:00+00:00,https://www.crowdcast.io/e/neuromatch2/36,D
63,Somatosensory localization in the absence of conscious detection,,Esra Al (Max Planck Institute for Human Cognitive and Brain Sciences),Short talk,2020-05-26 11:00:00+00:00,2020-05-26 23:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/37,A
64,Processing of visual sequences by neural ensembles in posterior parietal cortex of macaques,,Lei Wang (East China Normal University),Short talk,2020-05-27 11:00:00+00:00,2020-05-27 11:20:00+00:00,https://www.crowdcast.io/e/neuromatch2/37,A
65,BIDS: a data standard to support the neuroimaging community,,Guiomar Niso (Universidad Politécnica de Madrid ),Short talk,2020-05-27 11:00:00+00:00,2020-05-27 11:40:00+00:00,https://www.crowdcast.io/e/neuromatch2/37,A
