submission_id,title,abstract,fullname,coauthors,institution,theme,talk_format,starttime,endtime,url
rec2p7vL4zVXFHgk9,Sleep does not facilitate human fear memory consolidation,"Introduction
The positive effects of sleep on the consolidation of declarative memories are generally well known. The role of sleep in consolidation of fear memories has not received as much attention. Moreover, only a few studies in humans have used physiological indices of conditioning, and none used central physiological measures. In the current study we investigated how sleep affects (1) consolidation of fear memories on behavioral level and (2) central measures of fear conditioned response by means of EEG.
Methods
In our experiment event-related brain potentials (ERP) were recorded during a fear conditioning procedure presented twice, before and after sleep or control intervention in 18 healthy young individuals. The procedure involved pairing of a neutral tone (CS+) with a highly unpleasant sound (UCS+). As a control, another neutral tone (CS-) was paired with a neutral (for some subjects slightly pleasant) sound (UCS-). The two sessions of conditioning were separated by approximately 2.5 hours when: on one experimental day subjects watched a silent movie for 2h (wake intervention); on another day the participants had 2h sleep opportunity (sleep intervention). The two days were separated by at least two weeks and counterbalanced in respect to the stimulus mapping. 
Results
In EEG differential conditioning manifested itself in the contingent negative variance (CNV)-like slow ERP component. Both period of sleep and wakefulness resulted in increased amplitude of the CNV to CS+ (main effect of contingency F(1,17) = 17.6, p < 0.001) without a significant difference between the type of intervention. The same effect was obtained on the behavioral level, with Valence ratings of CS+ were more negative as compared to CS- (F(1,17) = 14.9, p < 0.001). The intervention (sleep/wake) followed by a block of extinction learning. Relearning of fear after the extinction elicited stronger differential response in CNV (main effect of Time (before-after comparison) F(1,17) = 6.5, p = .02) but not in the behavioral ratings (F(1,17) = 0.66, p = .426).
Conclusions
The data indicate that fear memories are consolidated with the course of time with no beneficial effect of sleep or a period of wakefulness.
",Yuri Pavlov,"Yuri G. Pavlov, University of Tuebingen; Boris Kotchoubey, Univesity of Tuebingen",University of Tübingen ,"Theme D: Cognition, Motivation and Emotion",Interactive talk,2020-10-29 16:00:00+00:00,2020-10-29 16:15:00+00:00,
rec32Bb5WhT1DFdOB,Motor cortical control of vocal behavior in neotropical singing mice,"Using sounds for social interactions is common across many taxa. Humans engaged in conversation, for example, take rapid turns to go back and forth. This ability to act upon sensory information to generate a desired motor output is a fundamental feature of animal behavior. How the brain enables such flexible sensorimotor transformations, for example during vocal interactions, is a central question in neuroscience. Seeking a rodent model to fill this niche, we are investigating neural mechanisms of vocal interaction in Alston’s singing mouse (Scotinomys teguina) – a neotropical rodent native to the cloud forests of Central America. We discovered sub-second temporal coordination of advertisement songs (counter-singing) between males of this species – a behavior that requires the rapid modification of motor outputs in response to auditory cues. We leveraged this natural behavior to probe the neural mechanisms that generate and allow fast and flexible vocal communication. Using causal manipulations, we recently showed that an orofacial motor cortical area (OMC) in this rodent is required for vocal interactions. Subsequently, in electrophysiological recordings, I find neurons in OMC that track initiation, termination and relative timing of songs. Interestingly, persistent neural dynamics during song progression stretches or compresses on every trial to match the total song duration. These results demonstrate robust cortical control of vocal timing in a rodent and questions the current dogma that motor cortical control of vocal output is evolutionarily restricted to the primate lineage.",Arkarup Banerjee,"Michael Long, NYU; ",New York University (grid.137628.9),"Theme C: Sensory & Motor Systems, and Physiology/Behavior",Traditional talk,2020-10-29 20:00:00+00:00,2020-10-29 20:15:00+00:00,
rec32r8kKGW0CgnEe,Dissecting Transient Burst Events,"Neural activity recorded from the scalp [magneto-/electroencephalogram (M/EEG)], cortical surface [electrocorticogram (EcoG)], or inside the brain [local field potential (LFP)] is traditionally analysed by averaging tens to hundreds of trials. The trial-wise average of spectrograms commonly shows periods of sustained high or low spectral power. The underlying single trial activity may manifest as oscillations (i.e., sustained rhythmic fluctuations of synchronous spiking activity) or burst-like events. Burst-like events are intermittent, transient periods of synchronous spiking activity. 
Events have a temporal, spectral, and spatial domain. However, most work so far has focussed on temporal event characteristics. Events are thereby compressed to a singular dimension, by reducing the spatial and spectral domains of their underlying signals. Domain reduction can have several un- wanted consequences. First, different domain reduction methods likely result in differences in event characteristics. Second, domain reduction can obscure interactions (e.g. temporal-spatial interaction also known as traveling wave) between domains, which may lead to ambiguous inferences and conclusions drawn from these analyses.
Considering all three domains will yield a more accurate description of individual event characteristics and their interactions. This is likely to underpin identification of more precise fingerprints of mechanisms underlying differences in population activity measures, such as spectral power. In turn, this can guide development of rational and mechanistically grounded treatments that target neurological and psychiatric conditions.",Catharina Zich,"Andrew J Quinn, University of Oxford; Lydia C Mardell, UCL; Nick S Ward, UCL; Sven Besmann, UCL",University College London (grid.83440.3b),"Theme C: Sensory & Motor Systems, and Physiology/Behavior",Traditional talk,2020-10-28 13:00:00+00:00,2020-10-28 13:15:00+00:00,https://youtu.be/LWcqYzvlJ0A
rec33xZQRCKUO5Ep8,Paired Stimulation in the Human Limbic System Induced Functional Connectivity Changes Consistent with Spike-Timing-Dependent Plasticity ,"Many neurological disorders can be attributed to abnormal neural dynamics at the network level, which arise from anomalous neural connectivity. As a result, spatially and temporally specific brain stimulation protocols can be designed to take advantage of our brain’s natural plasticity, reorganize selected neural connections, and serve as a potential therapy for various brain disorders. One of the proposed mechanisms for inducing targeted functional changes in the brain is spike-timing-dependent plasticity (STDP), which suggests that long-term potentiation (LTP) will be induced in two connected neurons when presynaptic spikes lead postsynaptic spikes by 0 to 20 ms. Although strong evidence of STDP has been found for synapses in vitro, its presence at the network level in awake human brains remains unclear. To investigate the relevance of STDP in humans, we applied paired-pulse electrical stimulation with different time delays, and recorded local field potentials (LFPs) from multiple epilepsy patients using implanted depth and electrocorticography (ECoG) grid electrodes. We assessed the functional connectivity between recorded brain regions in the limbic system as quantified by the coherence between LFPs. Our results showed that both stimulation paradigms significantly altered the functional connectivity between brain regions compared to control. Meanwhile, paired stimulation with 10-ms delay led to greater increase in LFP coherence compared to that with 100-ms delay across multiple frequency bands. These results support the role for an STDP-like process in the emotion processing regions of the human brain.",Jasmine Zhou,"Kira Evitts, University of Washington; Samantha Sun, University of Washington; Ankit Khambhati, University of California, San Francisco; Kristin Sellers, University of California, San Francisco; Edward Chang, University of California, San Francisco; Azadeh Yazdan-Shahmorad, Washington National Primate Research Center, University of Washington, and University of California, San Francisco",University of Washington (grid.34477.33),Theme E: Computational modelling and Techniques,Traditional talk,2020-10-30 21:00:00+00:00,2020-10-30 21:15:00+00:00,
rec37Ge1ZKL0nqOOB,Batch Effects are Causal Effects: Applications in Human Functional Connectomes,"Batch effects, accidental sources of variance across multiple experiments, present a substantial hurdle for statistical inference. These batch effects have been implicated in multiple widespread problems, including the reproducibility crisis. Typical batch mitigation strategies, which normalize each dataset individually, view batch mitigation fundamentally as a statistical problem. We turn this view on its head, and cast batch effects as a causal problem, namely, the experimental site causes additional sources of variation, over and above the sources of variation within site. We applied this strategy to 24 datasets in the “Consortium for Reliability and Reproducibility”. We illustrate that typical approaches amount to testing for independence, and therefore fail to address confounding variables. Such approaches are estimating the wrong estimand, and therefore, are invalid for quantifying batch effects when viewed from the causal perspective. Combining a causal view of batch mitigation with classical approaches (such as ComBat) yields satisfactory batch estimation and mitigation, while also preserving statistical patterns of interest. This framework can be applied to improve our understanding of the sources of batch effects, and enable more effective data aggregation strategies. 
",Eric Bridgeford,"Eric W. Bridgeford, Johns Hopkins University; Michael Powell, Johns Hopkins University; Anton Alyakin, Johns Hopkins University; Brian Caffo, Johns Hopkins University; Joshua T. Vogelstein, Johns Hopkins University",Johns Hopkins University (grid.21107.35),Theme E: Computational modelling and Techniques,Traditional talk,2020-10-27 18:00:00+00:00,2020-10-27 18:15:00+00:00,https://youtu.be/foDtMjMQuOs
rec37oJEia2zNixnz,A motor adaptation paradigm to strengthen implicit learning,"When our intended movements have unintended outcomes, the human motor system can quickly adapt future movements. Motor output is modified in a way such that motor errors, that is, the difference between the expected and the perceived consequences of any motor output, are reduced. Both explicit and implicit neural processes play key roles in adaptation. Explicit processes, such as the effortful use of conscious strategies to counter a perturbation, can be quickly employed and allow for flexibility in rapidly changing conditions. Implicit processes on the other hand, such as the unconscious updating of internal models, supposedly arise slowly but do allow for reliable, persistent changes in the motor system. When adapting reaching movements, implicit components of adaptation have been demonstrated to have an upper boundary in the amount by which they alter future movements, regardless of the size of the experienced perturbation [1]; that is, they are thought to be limited in scope. Here, we allow participants to adapt to small, consistent errors, and when they have done so, introduce further small errors. Consequently, we show that the proposed upper boundary on implicit adaptation can be overcome. We also show that the additional implicit learning observed is not caused by simply gradually increasing the perturbation to prevent explicit strategies. This suggests that while additional implicit adaptation is difficult to achieve during tasks with large, salient errors, and in tasks with slowly introduced errors, it may be achievable by evoking multiple distinct error correction steps.

1. 	Bond KM, Taylor JA. Flexible explicit but rigid implicit learning in a visuomotor adaptation task. J Neurophysiol. 2015; doi:10.1152/jn.00009.2015
",Shanaathanan Modchalingam,"Shanaathanan Modchalingam, York University; Marco Ciccone, York University; Bernard Marius ’t Hart, York University; Denise Henriques, York University",York University (grid.21100.32),"Theme C: Sensory & Motor Systems, and Physiology/Behavior",Interactive talk,2020-10-29 17:00:00+00:00,2020-10-29 17:15:00+00:00,
rec38VmOkfx5ENnv5,Development of autophagy-inducing peptides as a potential therapy for motor neurone disease ,"The pathological hallmark of a range of neurodegenerative diseases, including Motor Neurone Disease (MND) is the presence of protein inclusions and aggregates in affected neurons. Aggregates progress continually from the site of onset to disturb cellular processes, ultimately resulting in neuron degeneration1. The only intracellular degradative pathway that can purge the cells of these misfolded proteins, aggregates, and dysfunctional organelles is autophagy. Since impaired/reduced autophagy may contribute to MND pathogenesis; upregulating autophagy offers a potential therapeutic option. This study aimed to develop and synthesize novel pharmacological agents that have non-toxic autophagy-inducing properties in motor neuronal NSC-34 cells. A series of peptides analogues of the evolutionary conserved domain of Beclin1 protein, the master regulator of autophagy, were designed and synthesized. In order to enhance the cellular uptake and increase the cytosolic bioavailability, the peptides were cyclized, and conjugated to a cell-penetrating peptide domain, and an endosomal escape domain. The autophagy-inducing effect of the peptides was determined by measuring the level of autophagosome-associated LC3-II, a marker of macroautophagy, in NSC-34 cells. We have shown that the peptides are capable of inducing autophagy at 5 micromolar concentration, which is 10-fold more potent than the previously reported Beclin-1 analogues. More importantly, the most potent peptide analogue significantly decreased aggregate-prone MND-associated protein levels and reduced their toxicity. This study provides in vitro evidence for a novel peptide-based approach to enhance autophagy as a unique and safe treatment modality with potential therapeutic benefit in MND and other proteinopathies.",Azin Amin,"Nirma Perrera, Florey Institute of Neuroscience and Mental Health; Bradley Turner, Florey Institute of Neuroscience and Mental Health; Fazel Shabanpoor, Florey Institute of Neuroscience and Mental Health",Florey Institute of Neuroscience and Mental Health (grid.418025.a),"Theme A: Development, Neurodegenerative Disorders and Injury",Traditional talk,2020-10-27 08:30:00+00:00,2020-10-27 08:45:00+00:00,https://youtu.be/Z9fiZ-DZmhw
rec3D24f9WJwAwutq,Memory suppression and fear extinction related to emotional cues,"Background
Disparate research in animals and humans have shown reduced influence of fearful memory as an automatic process and a volitional process. It’s unclear whether volitional emotional memory suppression largely involves the same neural circuitry as automatic fear extinction.

Objective
To validate an examination of neural associations/dissociations between volitional memory suppression and fear extinction, we behaviorally tested both memory suppression and fear extinction. We aimed to identify what components of the memory are consciously reduced during suppression.

Methods
Participants (N=24) first learned 32 pairs of pictures: neutral human faces with either neutral images (NEU) or fearful scenes (NEG). Next, a neutral face would be shown and participants would be asked to either think about (THINK), suppress (NO THINK), or neither think about nor suppress (EXTINCT) the paired image; some faces weren’t shown (BASELINE). Participants then rated each face on how pleasant or unpleasant it made them feel and were asked to remember if the associated picture was negative or neutral.

Results
Within the ratings, there were significant main effects of Valence (p<.001), Condition (p<.001), and a significant interaction of Condition by Valence (p=.02). Think NEG showed that valence is lower than Baseline NEG (p = .012), while Extinction NEG showed that valence is higher than Baseline (p = .011).
Within the recall, there was a significant interaction of Condition by Valence (p=.02). NEG Think has the highest recall (92.71%) and there is a significant difference between NEG Think and NEG No Think (92.71 vs. 70.83%, p=.001) Additionally, NEG Think is significantly above baseline (p=.006), while NEG No Think is below baseline (although n.s., p=.38).
 
Conclusions
 Think related to enhancement in memory recall and the most negative ratings of the paired neutral faces. No Think was associated with worsened recall, but valence ratings were right around baseline. Extinction did not alter memory, but valence became less negative.
",Olivia Cook,"L. Knight, University of Louisville; B. E. Depue, University of Louisville",University of Louisville (grid.266623.5),"Theme D: Cognition, Motivation and Emotion",Traditional talk,2020-10-26 18:00:00+00:00,2020-10-26 18:15:00+00:00,https://youtu.be/WN-r7rYhVTY
rec3FxIA1OSvNCRI1,The hippocampus promotes formation of long-term memory for objects in rats by preventing sensory interference after learning,"Damage to the medial temporal lobe, notably the hippocampus, often leads to anterograde amnesia for declarative memories, but it remains unresolved how this deficit arises. Addressing this issue, we have proposed in our active decay theory that the hippocampus supports long-term memory formation by protecting against ongoing sensory stimulation which interferes with the stabilisation of newly formed content representations residing in extra-hippocampal areas. Efficient pattern separation within the hippocampus is predicted to promote resistance to interference and representation overlap. Thus, without a functioning hippocampus, ongoing sensory stimulation will lead to states of catastrophic interference in these brain regions, manifesting behaviourally as anterograde amnesia. Here, we report our results testing this hypothesis with an object recognition task in rats as a model for human declarative memories. Importantly, expression of long-term object recognition memory requires the perirhinal cortex, not the hippocampus in rats. We found (1) that inactivating hippocampus prior to object learning with intrahippocampal injections of GABAA and -B agonists (muscimol+baclofen) impaired object recognition tested 24 h after learning. (2) This deficit was absent when we placed rats into a highly familiar dark chamber right after object learning to reduce sensory stimulation during the memory stabilization period. Our findings support our theoretical model and suggest that anterograde amnesia due to hippocampal damage arises from heightened vulnerability to interference from ongoing sensory stimulation during phases of memory stabilization.",Isabelle Groves,"Daisy Arkell, University of Edinburgh, Centre for Discovery Brain Sciences and Simons Initiative for the Developing Brain; Emma Wood, University of Edinburgh, Centre for Discovery Brain Sciences and Simons Initiative for the Developing Brain; Oliver Hardt, McGill University, Patrick Wild Centre and Simons Initiative for the Developing Brain",McGill University (grid.14709.3b),"Theme D: Cognition, Motivation and Emotion",Interactive talk,2020-10-27 13:00:00+00:00,2020-10-27 13:15:00+00:00,
rec3SIk5XIqDVWSb8,Assessing Limitations of Three-Factor Hebbian Learning Relative to Deep Reinforcement Learning,"Three-Factor Hebbian Learning (also known as Reward-Modulated Hebbian Learning) is an important framework for neuroscientists because it provides a biologically relevant framework for modeling learning in the brain. However, the effectiveness of Three-Factor Learning, which specifies that synaptic plasticity is driven only by presynaptic activity, postsynaptic activity, and a global neuromodulator, is limited. By contrast, Deep Reinforcement Learning (DRL) provides more computationally powerful learning rules that typically use an additional factor related to the influence of the synapse or neuron towards the action taken by the agent. However, the biological relevance of these rules is less well understood. The primary goal of this project is to better understand the specific network and task conditions that cause Three-Factor Learning agents to fail, and the specific features of DRL algorithms that can overcome these problems and thus could potentially have relevance to learning in the brain.

We consider four primary challenges that the brain must overcome to learn effectively. The first is adding uncertainty to the time of stimulus onset on each trial, which is typically used in real-world learning tasks but less often in simulations. The second is adding multiple stimulus dimensions and changing which one is relevant for learning at a given time. The third is network complexity, including simply moving from a simple linear network that is used in many simple modeling exercises to a multi-layer network needed to solve more complex problems. The fourth is additional forms of plasticity, such as a perceptual learning-like mechanism that can affect the input to the network, that must interact synergistically with other learning in the network to produce appropriate outputs. Preliminary results suggest that each of these challenges are overcome more effectively by DRL algorithms than Three-Factor Hebbian rules, implying a potential role for those algorithms in the brain.",Jordan Lei,"Joshua Gold, University of Pennsylvania; Konrad Kording, University of Pennsylvania; Blake Richards, McGill University; Vijay Balasubramanian, University of Pennsylvania",University of Pennsylvania (grid.25879.31),Theme E: Computational modelling and Techniques,Interactive talk,2020-10-29 20:00:00+00:00,2020-10-29 20:15:00+00:00,
rec3T8qGH0x3LiXBq,Social gradients: Cross-sectional and longitudinal evidence of differential functional embedding and plasticity of the social brain,"Social interaction is key to human survival and has been proposed to be linked to the organization of the cerebral cortex. In a sample of healthy adults (N=332) we determined that task-based networks implicated in attention, empathy, and ToM-processing are topologically ordered along a social gradient from internal to external cognitive functions and have differentiable behavioral, functional, and genetic associations. We found domain-specific change in functional topology following a mental training intervention addressing attention and interoception, socio-affective skills, and socio-cognitive skills respectively. Attention-based practice resulted in segregation of cortical association networks, whereas socio-cognitive training resulted in their integration, reflecting a dissociation between cognitive quiescence and active thought. Socio-affective training had balancing effects on functional network organization, related to the regulating function of emotion. Together, our results show that social interaction involves a modifiable balance of network integration and segregation embedded along a social gradient from external to internal cognitive functions.",Sofie Valk,"Philipp Kanske, TU Dresden, Germany; Bo-yong Park, MNI, Canada; Seok-Jun Hong, Sungkyunkwan University, South Korea; Anne Böckler-Raettig, University of Hannover, Germany; Fynn-Mathis Trautwein, University of Freiburg, Germany; Boris C. Bernhardt*, MNI, Canada; Tania Singer*, Social neuroscience lab, Germany",Max Planck Institute for Human Cognitive and Brain Sciences (grid.419524.f),"Theme D: Cognition, Motivation and Emotion",Traditional talk,2020-10-29 16:00:00+00:00,2020-10-29 16:15:00+00:00,
rec3ViMP7LMqloDt6,Neuromatch 3.0 Opening Session,"Welcome to Neuromatch Conference 3.0! This year has been full of challenges and new opportunities. The neuromatch team is excited to welcome you to the meeting and highlight some of our ideas and experiments toward making the future of neuroscience conferences as open, accessible, and exciting as possible.",,,,,Special Event,2020-10-26 13:00:00+00:00,2020-10-26 14:00:00+00:00,
rec3dHFdee4L66pbj,Epigenetic signature of FKBP5 is associated with structural changes in emotion regulatory brain circuits,"Disturbances in regulatory brain circuits involved in neural stress and emotion processing are commonly observed across many psychiatric disorders. Prominently, the anterior cingulate cortex (ACC) and medial prefrontal cortex (mPFC) serve as convergence sites for genetic and environmental risk factors. Epigenetic disinhibition of FKBP5, a regulator of the HPA-axis, might be a biological mechanism that translates environmental influences into altered brain function. Two specific DNA-Methylation (DNAm) loci have recently been identified as being particularly relevant for the epigenetic regulation of FKBP5. Here, we investigate the brain structural correlates of these epigenetic loci. In total 395 (194 women; age:28.12±10.45) healthy caucasian subjects underwent structural T1 MRI-Scans. Data was preprocessed using the CAT12 toolbox (in SPM12) following standard procedures. DNAm was assessed using the Illumina EPIC array and residualized for sex, age, cell composition, smoking and the first 10 PCs. The DNAm of the two loci of interest, cg20813374 and cg00130530, were averaged. Two General Linear Models on grey matter volume with (i) FKBP5 DNAm [n=395] and (ii) the trait version of the State and Trait Anxiety Inventory (STAI-T) [n=224] as predictors were build. Region-of-interest (ROI) analyses with ROI comprising  ACC, mPFC, Hippocampus and Amygdala were conducted. FKBP5 DNAm was significantly associated with grey matter volume in the medial Orbitofrontal Cortex (T=4.37, p=.030 Family-wise error (FWE)-corrected in ROI). Within the FKBP5-dependent morphometric changes trait anxiety was negatively associated with perigenual ACC volume (T=-3.61, p=.044 FWE-corrected in ROI). We demonstrate that DNAm of key loci in FKBP5 and established risk markers for affective disorders converge on the same regions within a well-known brain circuits underlying neural stress processing, highlighting the importance of brain circuits in translating epigenetic into psychological risk.",Thomas Leon Kremer,"Thomas Leon Kremer, University Heidelberg; Urs Braun, University Heidelberg; Junfang Chen, University Heidelberg; Anais Harneit, University Heidelberg; Kristina Schwarz, University Heidelberg; Janina I. Schweiger, University Heidelberg; Markus Reichert, University Heidelberg; Emanuel Schwarz, University Heidelberg; Andreas Meyer-Lindenberg, University Heidelberg; Heike Tost, University Heidelberg",Heidelberg University (grid.7700.0),"Theme D: Cognition, Motivation and Emotion",Interactive talk,2020-10-27 22:00:00+00:00,2020-10-27 22:15:00+00:00,
rec3eJckWkHry1ZqR,Emergent Sequential Task Learning Facilitates Convergence in Recurrent Neural Networks,"Neuronal networks can learn to maintain stimulus information in order to solve working memory tasks. Here, tasks are defined by their loss function that is optimised to solve the task. Loss functions can vary in difficulty, and various machine learning strategies have been developed to catalyse learning, such as drop-out, adaptive learning rates and various gradient descent methods. But these are all technical improvements of the involved algorithms, and do not inform us of how animal learning might be improved. Instead, we have identified a different, non-trivial strategy to improve learning, by adding a second, easier task to the loss function. Our original task requires a recurrent neural network to report the trial type at the end of each trial, by accumulating information throughout the trial. This is a difficult task to learn, and networks often fail to converge. This changes when an additional component is added to the loss function that requires networks to make short-term predictions throughout the trial, thus informing them of the trial structure. Networks emerge to learn to solve the second task first, thereby changing the functional profile of their neurons, after which they also learn to minimise the first component of the loss function. This unsupervised, sequential learning behaviour provides a new perspective on task optimisation. It shows that networks can decompose a loss function and learn its parts in an optimal sequence. This principle could potentially be applied to other difficult tasks, arguing that they may be solved by using additional, easier tasks, serving as a warm start to the network.",Thijs van der Plas,"Sanjay Manohar, University of Oxford; Tim Vogels, IST Vienna;",University of Oxford (grid.4991.5),Theme E: Computational modelling and Techniques,Interactive talk,2020-10-30 12:00:00+00:00,2020-10-30 12:15:00+00:00,
rec3kU0WlhO2ckCpR,Ethical considerations for vocal biomarker research,"Over 30 million Americans – roughly 8% of the U.S. population - are affected by psychiatric and neurological diseases (PaNDs). Despite this high prevalence, few cost-effective tools exist to objectively diagnose PaNDs early. As a result, PaNDs are usually treated only after advanced symptoms appear, leading to high costs and poor patient outcomes. There is thus a strong need to create low-cost and highly accurate biomarkers to streamline early-stage PaNDs diagnosis.

Perhaps the most promising area for early diagnosis of PaNDs is through vocal biomarkers. There are multiple benefits to this approach including: 1) the cost to acquire and process voice data is low (~$0.03/sample); 2) the tools to collect voice data are widely accessible (68% of US population owns a smartphone); and 3) voice-based machine learning models are highly accurate at detecting symptoms of PaNDs up to five years earlier relative to the standard of care (e.g. in Alzheimer’s disease).

Despite great promise, the potential rapid growth of the voice space raises a host of early neuroethical concerns.  As the voice tech space grows, individuals may become subject to algorithmic bias. Algorithmic bias has manifested in the facial recognition space, for example, due to the lack of diversity in datasets. The shortcomings of these datasets result in a spectrum of unwanted bias - from not unlocking your own phone to being falsely arrested as a wanted criminal. 

The voice space can prevent algorithmic bias early on by monitoring the data collected and use of technology. Rather than collecting as much data as possible to train initial predictive algorithms, the voice space must ensure that the data is representative of diverse populations in order to mitigate harmful biases. 
",Ankita Moss,Jim Schwoebel ,NeuroLex,"Theme F: History, Education and Society",Interactive talk,2020-10-30 22:15:00+00:00,2020-10-30 22:30:00+00:00,
rec3lIIu46hqa7XPK,Modulating RPTPσ promotes functional recovery in experimental models of multiple sclerosis ,"Changes in chondroitin sulphate proteoglycans (CSPGs) following neural injury or as part of a neurodegenerative process lead to the inhibition of myelin repair. In Multiple sclerosis, CSPGs are deposited at the border of active and expanding demyelinating lesions and may create a barrier for regeneration and contribute to neurodegeneration. CSPG inhibition of axonal regeneration is partially mediated by the protein tyrosine phosphatase sigma (PTPσ) receptor. PTPσ is also the main player of CSPG inhibition of oligodendrocyte (OL) outgrowth and myelination. Intracellular sigma peptide (ISP) binds to PTPσ and relieves CSPG-mediated inhibition and has been used to promote regeneration after spinal cord injury. Identification of PTPσ as a functional receptor for CSPGs presents a promising avenue of investigation to rescue OL activity and promote recovery in demyelinating lesions.

Here we show that ISP treatment can improve functional recovery in animal models of multiple sclerosis and highlight cellular changes involved in the process. The EAE mice treated with ISP significantly recovered hindlimb function, and showed considerably reduced neuroinflammation and immune infiltration, smaller demyelinating lesion sites, and significantly more neurofilament sparing. After systemic demyelination, mice that received ISP showed motor and cognitive improvements that correlated with increased remyelination and decreased neuroinflammation.  We further demonstrate that delaying ISP administration by two weeks in a chronic disease model leads to a lesser degree of functional and histological improvements while still significantly improving the condition, highlighting the importance of modulating CSPG signalling at an incipient stage of the disease. In vitro, astrocytes, microglia and OPCs exposed to CSPGs showed inhibitory responses that were ameliorated by ISP addition .  Overall, our results suggest an exciting avenue for regeneration by targeting RPTPσ, supporting further consideration for therapeutic usage.

",Smaranda Badea,"Li Rong, School of Biomedical Sciences, LKS Faculty of Medicine, The University of Hong Kong, Hong Kong; Rong Liu, School of Biomedical Sciences, LKS Faculty of Medicine, The University of Hong Kong, Hong Kong;  Haitao Sun 2 Department of Neurosurgery, Zhujiang Hospital, Southern Medical University, Guangzhou, China;  Jiandong Huang, State Key Laboratory of Brain and Cognitive Sciences, The University of Hong Kong, Hong Kong and School of Biomedical Sciences, LKS Faculty of Medicine, The University of Hong Kong, Hong Kong; Wutian Wu, Joint Laboratory for Brain Function and Health (BFAH), Jinan University and The University of Hong Kong, Guangzhou, China and Re-Stem Biotechnology Co. Ltd., Jiangsu, China   ",University of Hong Kong (grid.194645.b),"Theme A: Development, Neurodegenerative Disorders and Injury",Traditional talk,2020-10-29 10:15:00+00:00,2020-10-29 10:30:00+00:00,
rec3mt5d29pbC1m84,Network principles predict motor cortex population activity across movement speeds,"Learned movements can be skillfully performed at different paces. What neural strategies produce this flexibility? Can they be predicted and understood by network modeling? We trained monkeys to perform a cycling task at different speeds, and trained artificial recurrent networks to generate the empirical muscle-activity patterns. Network solutions, combined with the principle that noise-robust dynamics require low trajectory tangling, yielded quantitative and qualitative predictions. To evaluate predictions, we recorded motor cortex population activity during the same task. Responses supported the hypothesis that the dominant neural signals reflect not muscle activity per se, but network-level strategies for generating muscle activity across speeds. Single-neuron responses were better described when regressed against network activity than when regressed against muscle activity. More deeply, population-level neural trajectories were structured differently from muscle trajectories. Neural trajectories had an organization that maintained low trajectory tangling within and across speeds, matching the structure of network solutions.",Shreya Saxena,"Abigail Russo, Princeton University; John Cunningham, Columbia University; Mark Churchland, Columbia University",University of Florida (grid.15276.37),Theme E: Computational modelling and Techniques,Traditional talk,2020-10-28 13:00:00+00:00,2020-10-28 13:15:00+00:00,https://youtu.be/sG7seYr4QH4
rec3pJ108cKCsuLT1,Sensorimotor beta activity is transient even during sustained motor output,"Recently, it has been suggested that beta-frequency patterns of neural activity (13-30Hz) are transient rather than sustained. However, to date, this has been demonstrated predominantly in studies with non-sustained task demands. Here, we revisited the transient vs. sustained nature of sensorimotor beta activity in an isometric contraction task designed to yield sustained behavioural output. During sustained muscle contraction, beta activity in sensorimotor cortices is known to become coherent with the muscle, resulting in cortico-muscular coherence (CMC). We hypothesised that if CMC is responsible for sustained motor contraction, beta activity should be sustained in this context. We measured magnetoencephalography (MEG) and electromyography (EMG) while participants (N = 18) performed a sustained motor task (gripping). To accurately disentangle the burst vs. sustained oscillation scenarios, we analysed MEG time-series in motor channels with Empirical Mode Decomposition (EMD) – a data-driven signal decomposition method with high temporal resolution. We replicated the finding that beta activity is modulated by global task structure: beta power in motor brain areas and the muscle was particularly prominent while participants held a steady grip. Correspondingly, we observed beta CMC during gripping. Nevertheless, at the single trial level, beta activity in the brain and the muscle appeared transient. When collapsing all periods of high and low beta power in the brain (beta ON and OFF periods), we confirmed that transient ON periods in the brain were paralleled by a corresponding short-lasting increase in beta power in the muscle and by a similarly time-limited CMC, despite sustained motor output. These transient beta ON periods were not due to transient changes in participants’ grip. We finally found that beta “bursts” during gripping were of similarly short duration as those recorded in the same participants during rest. Together, these findings show that beta activity and connectivity is “bursty” even during sustained motor output.",Irene Echeverria Altuna,"Andrew J. Quinn, Oxford Centre for Human Brain Activity, Wellcome Centre for Integrative Neuroimaging, Department of Psychiatry, University of Oxford, Oxford, United Kingdom; Nahid Zokaei, Oxford Centre for Human Brain Activity, Wellcome Centre for Integrative Neuroimaging, Department of Psychiatry, University of Oxford, Oxford, United Kingdom, Department of Experimental Psychology, University of Oxford, OX1 3UD Oxford, United Kingdom; Freek van Ede, Institute for Brain and Behavior Amsterdam, Department of Experimental and Applied Psychology, Vrije Universiteit Amsterdam, The Netherlands; Anna C. Nobre, Oxford Centre for Human Brain Activity, Wellcome Centre for Integrative Neuroimaging, Department of Psychiatry, University of Oxford, Oxford, United Kingdom, Department of Experimental Psychology, University of Oxford, OX1 3UD Oxford, United Kingdom ",University of Oxford (grid.4991.5),"Theme C: Sensory & Motor Systems, and Physiology/Behavior",Traditional talk,2020-10-28 13:15:00+00:00,2020-10-28 13:30:00+00:00,https://youtu.be/sQ3Q1w0DtUo
